GBIF Taxon key,GBIF scientific name,rank,kingdom_name,provided species name,speciesplusID
2448616,"Loxocemus bicolor Cope, 1861",SPECIES,Animalia,Loxocemus bicolor,3490
2470766,"Varanus eremius Lucas & Frost, 1895",SPECIES,Animalia,Varanus eremius,4765
2470696,"Varanus storri Mertens, 1966",SPECIES,Animalia,Varanus storri,5030
2260084,"Favites complanata (Ehrenberg, 1834)",SPECIES,Animalia,Favites complanata,5450
2498259,"Aythya nyroca (Guldenstadt, 1770)",SPECIES,Animalia,Aythya nyroca,5560
2480927,"Ardea goliath Cretzschmar, 1829",SPECIES,Animalia,Ardea goliath,6824
2477020,"Polytmus guainumbi (Pallas, 1764)",SPECIES,Animalia,Polytmus guainumbi,8422
2436468,"Saguinus midas (Linnaeus, 1758)",SPECIES,Animalia,Saguinus midas,8942
5788519,"Spilornis klossi Richmond, 1902",SPECIES,Animalia,Spilornis klossi,9998
2498087,"Anas oustaleti Salvadori, 1894",SPECIES,Animalia,Anas oustaleti,10338
2777200,Aloe cameronii Hemsl.,SPECIES,Plantae,Aloe cameronii,17193
2777382,Aloe elegans Tod.,SPECIES,Plantae,Aloe elegans,17703
2839092,Gongora similis Rchb.f.,SPECIES,Plantae,Gongora simplex,19542
5312586,Oberonia lunata (Blume) Lindl.,SPECIES,Plantae,Oberonia lunata,21496
2818721,Dracula minax Luer & R.Escobar,SPECIES,Plantae,Dracula minas,22084
2777952,Aloe pearsonii Schè nland,SPECIES,Plantae,Aloe pearsonii,22690
2777785,Aloe sheilae Lavranos,SPECIES,Plantae,Aloe sheilae,23095
2777808,Aloe rupestris Baker,SPECIES,Plantae,Aloe rupestris,25713
5621244,Opuntia bisetosa Pittier,SPECIES,Plantae,Opuntia bisetosa,27451
2777149,Aloe schomeri Rauh,SPECIES,Plantae,Aloe schomeri,27684
2777913,Aloe integra Reynolds,SPECIES,Plantae,Aloe integra,28332
2739037,Ravenea louvelii Beentje,SPECIES,Plantae,Ravenea louvelii,29149
2777850,Aloe pembana L.E.Newton,SPECIES,Plantae,Aloe pembana,29287
2777373,Aloe humbertii H.Perrier,SPECIES,Plantae,Aloe humbertii,29459
4850232,Falco alexandri,SPECIES,Animalia,Falco alexanderi,30839
1504729,"Caiusa indica Surcouf, 1914",SPECIES,Animalia,Canis indica,32999
5232357,"Otus gurneyi (Tweeddale, 1879)",SPECIES,Animalia,Otus gurneyi,33521
2444354,"Crotalus Linnaeus, 1758",GENUS,Animalia,Crotalus pulvis,37799
2777661,Aloe ammophila Reynolds,SPECIES,Plantae,Aloe ammophila,40907
2777227,Aloe decora Schè nland,SPECIES,Plantae,Aloe decora,42484
2789709,Lycomormium minus Kraenzl.,SPECIES,Plantae,Lycomormium minus,46016
2777273,Aloe spicata L.f.,SPECIES,Plantae,Aloe spicata,17928
2777321,Aloe dumetorum B.Mathew & Brandham,SPECIES,Plantae,Aloe dumetorum,48637
2778117,Aloe dhalensis Lavranos,SPECIES,Plantae,Aloe dhalensis,49506
5308001,Epidendrum humile Sm.,SPECIES,Plantae,Epidendrum humile,49452
3702261,Nepenthes alba Ridl.,SPECIES,Plantae,Nepenthes alba,50821
5323846,Brassia juninensis C.Schweinf.,SPECIES,Plantae,Brassia juinensis,51246
5950991,Alismorkis textorii (Miq.) Kuntze,SPECIES,Plantae,Alismorkis textori,51811
2811092,Aerides fenzliana Rchb.f.,SPECIES,Plantae,Aerides fenzlianum,52093
5225710,"Eunectes notaeus Cope, 1862",SPECIES,Animalia,Eunectes notaeus,3622
2443410,"Mauremys iversoni Pritchard & Mccord, 1991",SPECIES,Animalia,Mauremys iversoni,4004
2260130,"Favia maritima (Nemenzo, 1971)",SPECIES,Animalia,Favia maritima,4188
2470651,"Varanus flavescens Hardwicke & Gray, 1827",SPECIES,Animalia,Varanus flavescens,4634
2470351,"Naja naja Linnaeus, 1758",SPECIES,Animalia,Naja naja,5151
2457363,"Zaocys dhumnades Cope, 1860",SPECIES,Animalia,Zaocys dhumnades,5590
5221984,"Furcifer cephalolepis Gåünther, 1880",SPECIES,Animalia,Furcifer cephalolepis,6068
2458466,"Elaphe carinata Gåünther, 1864",SPECIES,Animalia,Elaphe carinata,7174
5786458,"Mico rondoni Ferrari, Sena, Schneider & Silva Jr., 2010",SPECIES,Animalia,Mico rondoni,9518
2498109,"Anas laysanensis Rothschild, 1892",SPECIES,Animalia,Anas laysanensis,9799
2495967,"Ducula aurorae (Peale, 1848)",SPECIES,Animalia,Ducula aurorae,10159
2260284,"Flabellum angustum Yabe & Eguchi, 1942",SPECIES,Animalia,Flabellum angustum,10259
7320754,Disa harveiana Lindl.,SPECIES,Plantae,Disa harveiana,14911
2778075,Aloe rosea (H.Perrier) L.E.Newton & G.D.Rowley,SPECIES,Plantae,Aloe rosea,16966
2836570,Phaius luridus Thwaites,SPECIES,Plantae,Phaius luridus,18940
5313273,Laelia bradei Pabst,SPECIES,Plantae,Laelia bradei,22356
2777724,Aloe vera (L.) Burm. f.,SPECIES,Plantae,Aloe vera,23064
3949947,Rebutia perplexa Donald,SPECIES,Plantae,Rebutia perplexa,23610
2738142,Satranala decussilvae Beentje & J.Dransf.,SPECIES,Plantae,Satranala decussilvae,24197
2784079,Disa minor (Sond.) Rchb.f.,SPECIES,Plantae,Disa minor,24289
2783136,Vanda hindsii Lindl.,SPECIES,Plantae,Vanda hindsii,28608
5788439,Halcyon gambieri,SPECIES,Animalia,Halcyon gambieri,30711
2481164,"Larus sabini Sabine, 1819",SPECIES,Animalia,Larus sabini,33412
2441019,"Bos grunniens Linnaeus, 1766",SPECIES,Animalia,Bos grunniens,34081
2497486,"Strix Linnaeus, 1758",GENUS,Animalia,Strix choliba,36596
5232199,"Otus asio (Linnaeus, 1758)",SPECIES,Animalia,Otus asio gilmani,38426
3599108,Hemitelia caesariana Sampaio,SPECIES,Plantae,Hemitelia caeseriana,39926
2783725,Disa gracilis Lindl.,SPECIES,Plantae,Disa gracilis,40601
2777332,Aloe johnstonii Baker ex Oliv.,SPECIES,Plantae,Aloe johnstonii,41517
3850829,Cedrela guianensis A.Juss.,SPECIES,Plantae,Cedrela guianensis,42937
3600299,Cyathea fugax Alderw.,SPECIES,Plantae,Cyathea fugax,44195
5321425,Pleione mairei Schltr.,SPECIES,Plantae,Pleione mairei,44796
5597428,Surenus mexicana Kuntze,SPECIES,Plantae,Surenus mexicana,45005
2824783,Pedilonum petiolatum (Schltr.) Rauschert,SPECIES,Plantae,Pedilonum petiolatum,45309
3595032,Cycas multifida H.T.Chang & Y.C.Zhong,SPECIES,Plantae,Cycas multifida,45710
2827998,Vanda amesiana Rchb.f.,SPECIES,Plantae,Vanda amesiana,47530
2777935,Aloe mketiensis Christian,SPECIES,Plantae,Aloe mketiensis,47845
5284575,Taxus contorta Griff.,SPECIES,Plantae,Taxus contorta,48207
5284195,Zamia spiralis Salisb.,SPECIES,Plantae,Zamia spiralis,48415
2799744,Masdevallia jalapensis Kraenzl.,SPECIES,Plantae,Masdevallia jalapensis,49507
3600228,Cyathea borjae Sodiro,SPECIES,Plantae,Cyathea borjae,50457
2784038,Disa lutea H.P.Linder,SPECIES,Plantae,Disa lutea,51519
5284066,Zamia lucayana Britton,SPECIES,Plantae,Zamia lucayana,51885
5305913,Penthea obtusa Lindl.,SPECIES,Plantae,Penthea obtusa,52363
2683539,Macrozamia preissii Lehm.,SPECIES,Plantae,Macrozamia preissii,52834
2497287,"Asio madagascariensis (A. Smith, 1834)",SPECIES,Animalia,Asio madagascariensis,4460
2470752,"Varanus indicus Daudin, 1802",SPECIES,Animalia,Varanus indicus,4966
2429020,"Ameerega flavopicta (Lutz, 1925)",SPECIES,Animalia,Ameerega flavopicta,5050
4287395,"Kinyongia tavetana (Steindachner, 1891)",SPECIES,Animalia,Kinyongia tavetana,6351
2448867,"Calumma fallax Mocquard, 1900",SPECIES,Animalia,Calumma fallax,6828
4267238,"Lagothrix cana ‰Û_. Geoffroy, 1812",SPECIES,Animalia,Lagothrix cana,8304
2489560,"Pitta oatesi (Hume, 1873)",SPECIES,Animalia,Pitta oatesi,8620
2498347,"Cygnus cygnus (Linnaeus, 1758)",SPECIES,Animalia,Cygnus cygnus,8889
2265557,"Distichopora borealis Fisher, 1938",SPECIES,Animalia,Distichopora borealis,9159
5219290,"Vulpes velox (Say, 1823)",SPECIES,Animalia,Vulpes velox,9341
2466112,"Uromastyx geyri Måüller, 1922",SPECIES,Animalia,Uromastyx geyri,9636
2429150,"Oophaga vicentei (Jungfer, Weygoldt & Juraske, 1996)",SPECIES,Animalia,Oophaga vicentei,9900
2492350,"Petronia petronia (Linnaeus, 1766)",SPECIES,Animalia,Petronia petronia,10289
6164659,"Lynx lynx isabellinus (Blyth, 1847)",SUBSPECIES,Animalia,Lynx lynx isabellinus,12208
2777816,Aloe debrana Christian,SPECIES,Plantae,Aloe debrana,13870
3600227,Cyathea rapensis Copel.,SPECIES,Plantae,Cyathea rapaensis,15019
7269445,Boronia oxyantha Turcz.,SPECIES,Plantae,Boronia oxyantha,15275
2777966,Aloe lateritia Engl.,SPECIES,Plantae,Aloe lateritia,16519
2777912,Aloe collina S.Carter,SPECIES,Plantae,Aloe collina,16807
2777216,Aloe dewinteri Giess ex Borman & Hardy,SPECIES,Plantae,Aloe dewinteri,16906
2777905,Aloe monotropa Verd.,SPECIES,Plantae,Aloe monotropa,17139
2777151,Aloe camperi Schweinf.,SPECIES,Plantae,Aloe camperi,17211
2777646,Aloe comptonii Reynolds,SPECIES,Plantae,Aloe comptonii,17623
2777273,Aloe spicata L.f.,SPECIES,Plantae,Aloe spicata,17928
2794124,Encyclia boothiana (Lindl.) Dressler,SPECIES,Plantae,Encyclia boothiana,18773
2777771,Aloe rupicola Reynolds,SPECIES,Plantae,Aloe rupicola,19660
2777460,Aloe prinslooi Verd. & D.S.Hardy,SPECIES,Plantae,Aloe prinslooi,19905
2777266,Aloe pruinosa Reynolds,SPECIES,Plantae,Aloe pruinosa,20739
5623789,Opuntia wolfei (L.D.Benson) M.A.Baker,SPECIES,Plantae,Opuntia wolfei,21458
