id,vernacularName,language,locality
274,guambixima,PORTUGUES,Sudeste
274,guamexira,PORTUGUES,Sudeste
274,guamixira,PORTUGUES,Sudeste
275,folha de serra,PORTUGUES,Rio de Janeiro
276,guambixim,PORTUGUES,
276,guambixima,PORTUGUES,
276,guamixira,PORTUGUES,
277,guamixira,PORTUGUES,Sudeste
277,teimosa,PORTUGUES,Sudeste
285,gramirim-café,PORTUGUES,Espírito Santo
301,matapira,PORTUGUES,Acre
301,mata rabujo,PORTUGUES,Acre
301,pirarara branca,PORTUGUES,Acre
342,folha-miúda,PORTUGUES,Bahia
342,mucambo,PORTUGUES,Bahia
342,pau-marfim,PORTUGUES,Pernambuco
342,pereiro-preto,PORTUGUES,Bahia
343,pequiá-mamona,PORTUGUES,
343,pau-marfim,PORTUGUES,
343,pau-liso,PORTUGUES,
343,pau-cetim,PORTUGUES,
343,marfim,PORTUGUES,
343,guatambu,PORTUGUES,
343,guataia,PORTUGUES,
343,guarataia,PORTUGUES,
343,guamuxinga,PORTUGUES,
343,guamixinga,PORTUGUES,
343,gramixinga,PORTUGUES,
343,farinha-seca,PORTUGUES,
343,embira,PORTUGUES,
401,bergamota; tangerina,PORTUGUES,Sudeste e Sul
401,mexeriqueira; mixirica,PORTUGUES,Sudeste e Centro-Oeste
409,laranjeira,PORTUGUES,
414,limão; limão-cravo,PORTUGUES,Sudeste e Centro-Oeste
453,pitaguará (Cordeiro et al. 1581A),PORTUGUES,Sudeste
455,ovira-sapo,PORTUGUES,São Paulo
457,ovira-sapo,PORTUGUES,Sudeste
459,língua-de-vaca,PORTUGUES,Pará
459,pau-branco,PORTUGUES,Pará
461,laranjinha-pequena,PORTUGUES,Maranhão
461,pé d'anta,PORTUGUES,Maranhão
466,café-bravo,PORTUGUES,Ceará
466,lírio-do-mato,PORTUGUES,Pernambuco
466,rapadura-branca,PORTUGUES,Espírito Santo
469,língua-de-vaca,PORTUGUES,Ceará
469,orelhudo,PORTUGUES,Espírito Santo
475,angustura-de-cheiro (Pio Correa 1926),PORTUGUES,Sudeste
479,laranjinha-brava,PORTUGUES,São Paulo
479,tira-prosa,PORTUGUES,São Paulo
485,angustura-venenosa (Pio Correa 1926),PORTUGUES,Amazonas
541,huaman-samana,PORTUGUES,Peru
541,sombrerillo,PORTUGUES,Bolívia
542,ardente,PORTUGUES,SP
542,brauninha,PORTUGUES,MG
542,cetim-amargoso,PORTUGUES,SP
542,pau-de-urubu,PORTUGUES,BA
542,pau-vidro,PORTUGUES,MG
542,piolho-de-urubu,PORTUGUES,BA
542,sabugueiro-da-mata,PORTUGUES,RJ e SP
555,alecrim-de-cobra,PORTUGUES,Alagoas
555,alfavaca brava,PORTUGUES,Pará
555,alfavaca de cobra,PORTUGUES,Amazonas
555,maricutinha,PORTUGUES,Bahia
555,pimenta de lagarta,PORTUGUES,Pará
557,japaranduba,PORTUGUES,Pernambuco
581,canela-de-veado,PORTUGUES,SC
581,cutia,PORTUGUES,SC
583,laranjeira-do-mato,PORTUGUES,Sudeste
583,mamoninha,PORTUGUES,Sudeste
583,três-folhas,PORTUGUES,Sudeste e Sul
583,três-folhas-do-mato,PORTUGUES,Sudeste e Sul
589,chupa-ferro,PORTUGUES,Sudeste e Sul
589,guaxipita,PORTUGUES,Sudeste e Sul
589,guaxupita,PORTUGUES,Sudeste e Sul
589,mamonarana,PORTUGUES,Norte
589,pitaguará-amarelo,PORTUGUES,Sudeste e Sul
601,guarantã,PORTUGUES,Sudeste
601,guarataiá-vermelha,PORTUGUES,ES
607,burandiga,PORTUGUES,Pará
607,cocão-coringa,PORTUGUES,Ceará
607,mururezinho,PORTUGUES,Mato Grosso
617,pau d'arquinho,PORTUGUES,Acre
621,amarelão,PORTUGUES,Maranhão
621,pau amarelo,PORTUGUES,Pará
734,laranjinha-branca (fide Salomão et al. 153),PORTUGUES,Norte
746,carrapateiro,PORTUGUES,São Paulo
746,chupa-ferro,PORTUGUES,Sudeste
746,guamixinga,PORTUGUES,Sudeste
746,jasmim-do-mato,PORTUGUES,Sudeste
746,mamoninha,PORTUGUES,Minas Gerais
746,quina-de-três-folhas,PORTUGUES,Sudeste
746,quina-falsa,PORTUGUES,Sudeste
746,quina-quina,PORTUGUES,Sudetes
746,ticoró,PORTUGUES,Sudeste
746,três folhas,PORTUGUES,Sudeste
746,três-folhas-do-mato,PORTUGUES,São Paulo
750,muelinha,PORTUGUES,Bahia; Bondar 153
771,amarelinho,PORTUGUES,Acre
771,araçá-preto,PORTUGUES,Mato Grosso
771,burangica,PORTUGUES,Maranhão
771,canela-de-velho,PORTUGUES,Acre
771,estalador,PORTUGUES,Acre
771,folha-de-couro,PORTUGUES,Maranhão
771,jaborandi,PORTUGUES,Maranhão
771,pau d'arquinho,PORTUGUES,Acre
771,pé-de-porco,PORTUGUES,Pará
771,pirarara da folha miúda,PORTUGUES,Acre
771,teju-ka'a,PORTUGUES,Maranhão
