id,locality,countryCode,establishmentMeans,occurrenceRemarks
88076,Rondônia;Maranhão;Amazonas,BR,NATIVA,
124446,São Paulo,BR,NATIVA,
24874,Mato Grosso;Rondônia;Amapá;Amazonas;Acre,BR,NATIVA,
20492,Amapá,BR,NATIVA,
121173,Paraná;Pará;Pernambuco,BR,NATIVA,
13126,Minas Gerais;Paraná;Piauí;Pernambuco;Paraíba;Goiás;Distrito Federal;Bahia;Mato Grosso do Sul;São Paulo;Mato Grosso;Acre;Ceará;Rio de Janeiro;Santa Catarina,BR,NATURALIZADA,
123894,São Paulo,BR,NATIVA,
100356,Espírito Santo;Bahia;Rio Grande do Norte,BR,NATIVA,
12973,Bahia,BR,NATIVA,
5029,Espírito Santo;Santa Catarina;Paraná;São Paulo;Rio de Janeiro;Minas Gerais,BR,NATIVA,
124588,Paraná,BR,NATIVA,
32339,Minas Gerais;Distrito Federal;Goiás;Mato Grosso do Sul;Mato Grosso;Amazonas,BR,NATIVA,
121159,Pará;Amazonas;Paraná;Rio Grande do Sul,BR,NATIVA,
124351,Rio Grande do Norte,BR,NATIVA,
124353,Rio Grande do Norte,BR,NATIVA,
124344,Rio Grande do Norte,BR,NATIVA,
124346,Rio Grande do Sul,BR,NATIVA,
126196,São Paulo,BR,NATIVA,
124347,Goiás,BR,NATIVA,
124348,Rio de Janeiro;Goiás,BR,NATIVA,
124349,Rio Grande do Sul,BR,NATIVA,
108046,São Paulo;Pernambuco;Rio Grande do Sul,BR,NATIVA,
100353,Rio de Janeiro;Paraíba;Rio Grande do Sul;Santa Catarina;Bahia;Espírito Santo;Rio Grande do Norte;Paraná;São Paulo;Ceará;Pernambuco,BR,NATIVA,
124339,Rio de Janeiro;Mato Grosso;Ceará;Rio Grande do Sul;São Paulo,BR,NATIVA,
124337,Rio Grande do Sul,BR,NATIVA,
124703,Rio Grande do Sul,BR,NATIVA,
119991,São Paulo,BR,NATIVA,
20521,Pernambuco;Mato Grosso;Ceará;Rio Grande do Norte;Mato Grosso do Sul;Bahia,BR,NATURALIZADA,
124340,Rio Grande do Sul;Rio de Janeiro;Mato Grosso;Rondônia,BR,NATIVA,
98501,Rio Grande do Sul;Rio Grande do Norte;São Paulo;Espírito Santo;Bahia;Pernambuco;Rio de Janeiro;Paraná,BR,NATIVA,
