id,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,name_status,cites_listing,cites_listing_original
3011,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Trochocyathus,semperi,A,II,II
3012,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,thomasi,A,II,II
3014,Animalia,Chordata,Reptilia,Sauria,Cordylidae,Cordylus,namaquensis,A,II,II
3015,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Spizaetus,bartelsi,A,II,II
3016,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,digitifera,A,II,II
3018,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Stylaster,complanatus,A,II,II
3019,Animalia,Chordata,Aves,Coraciiformes,Bucerotidae,Anthracoceros,marchei,A,II,II
3020,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,albipectus,A,II,II
3021,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Labyrinthocyathus,delicatus,A,II,II
3022,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Spizaetus,nipalensis,A,II,II
3023,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Turbinaria,frondens,A,II,II
3024,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Chiropotes,utahickae,A,II,II
3026,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinomys,laniger,A,NC,NC
3028,Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Barabattoia,amicorum,A,II,II
3029,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,philippii,A,II,II
3030,Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,stephensoni,A,II,II
3031,Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Chamaeleo,calyptratus,A,II,II
3034,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,valimunensis,A,II,II
3035,Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,australiensis,A,II,II
3036,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,canadensis,A,II/NC,II
3037,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,nodosa,A,II,II
3038,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Distichopora,livida,A,II,II
3039,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Rhizosmilia,sagamiensis,A,II,II
3041,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Metallura,baroni,A,II,II
3042,Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Goniastrea,palauensis,A,II,II
3044,Animalia,Chordata,Reptilia,Sauria,Varanidae,Varanus,auffenbergi,A,II,II
3046,Animalia,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Fungia,fungites,A,II,II
3047,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Astreopora,explanata,A,II,II
3049,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,colocolo,A,II,II
3050,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,princeps,A,II,II
3051,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,niger,A,NC,NC
