source_id,source,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name
20739,Species+,Plantae,,,Liliales,Liliaceae,Aloe,pruinosa
14187,Species+,Plantae,,,Cycadales,Zamiaceae,Macrozamia,longispina
14269,Species+,Plantae,,,Ebenales,Ebenaceae,Diospyros,revaughanii
15020,Species+,Plantae,,,Liliales,Liliaceae,Aloe,canarina
15947,Species+,Plantae,,,Ebenales,Ebenaceae,Diospyros,erinacea
16310,Species+,Plantae,,,Orchidales,Orchidaceae,Dendrobium,parvifolium
20430,Species+,Plantae,,,Orchidales,Orchidaceae,Stelis,effusa
20790,Species+,Plantae,,,Liliales,Liliaceae,Aloe,ankoberensis
22076,Species+,Plantae,,,Liliales,Liliaceae,Aloe,millotii
23989,Species+,Plantae,,,Liliales,Liliaceae,Aloe,bella
24638,Species+,Plantae,,,Liliales,Liliaceae,Aloe,acutissima
26181,Species+,Plantae,,,Liliales,Liliaceae,Aloe,boylei
27252,Species+,Plantae,,,Orchidales,Orchidaceae,Laelia,lobata
27470,Species+,Plantae,,,Caryophyllales,Cactaceae,Eriosyce,napina
27551,Species+,Plantae,,,Liliales,Liliaceae,Aloe,friisii
27637,Species+,Plantae,,,Orchidales,Orchidaceae,Orchis,italica
28048,Species+,Plantae,,,Liliales,Liliaceae,Aloe,steudneri
28186,Species+,Plantae,,,Orchidales,Orchidaceae,Eria,punctata
39769,Species+,Plantae,,,Orchidales,Orchidaceae,Disa,reflexa
40035,Species+,Plantae,,,Orchidales,Orchidaceae,Coelogyne,casta
40516,Species+,Plantae,,,Orchidales,Orchidaceae,Angraecum,nalaense
40601,Species+,Plantae,,,Orchidales,Orchidaceae,Disa,gracilis
40837,Species+,Plantae,,,Cyatheales,Cyatheaceae,Cyathea,firma
40997,Species+,Plantae,,,Orchidales,Orchidaceae,Peltopus,kenae
44446,Species+,Plantae,,,Liliales,Liliaceae,Aloe,nitens
44569,Species+,Plantae,,,Cycadales,Zamiaceae,Macrozamia,hopei
45869,Species+,Plantae,,,Orchidales,Orchidaceae,Angraecum,cryptodon
47931,Species+,Plantae,,,Orchidales,Orchidaceae,Aerides,dayana
48001,Species+,Plantae,,,Orchidales,Orchidaceae,Ophrys,hiulca
49501,Species+,Plantae,,,Orchidales,Orchidaceae,Cordula,argus
51550,Species+,Plantae,,,Orchidales,Orchidaceae,Epidendrum,radiatum
